WCAG Issues — 265 Issues (axe),,,,,,,,,Auditor URL:,https://axeauditor.dequecloud.com/test-run/fb2d5e00-ae0a-11f0-8290-5faeec950510,,,,
Total: 265   |   ✅ Fixed: 242   |   ⏳ Pending (Helpjuice): 23,,,,,,,,,,,,,,
Issue ID,Status,Summary,Impact,WCAG Checkpoint,Standards,URL,Rule ID,Issue Status,Deque validation status,Test Unit,,Innovaccer Comment,Revalidation comment,Deque Axe Auditor Status
2340404,Fixed,Function cannot be performed by keyboard alone,Critical,2.1 Keyboard Accessible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,keyboard-inaccessible,Open,Fixed,Roles,,Fixed,,Closed
2340406,Fixed,Link: Link does not have a role,Serious,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,link-missing-role,Open,Not Fixed,Roles,,Fixed,,Open
2340418,Fixed,State: Table sort state is missing or incorrect,Serious,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,state-table-sort,Open,Fixed,Roles,,Fixed,,Closed
2340723,Fixed,Info or functionality is lost due to overlapping content at 320px equivalent,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,content-reflow-content-lost,Open,Not Fixed,Roles,,Fixed,,Open
2340725,Fixed,Info or functionality is unavailable at 320px width equivalent,Serious,1.4 Distinguishable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,content-reflow-content-missing,Open,Not Fixed,Roles,,Fixed,,Open
2340737,Fixed,Page TITLE element does not identify purpose of page,Serious,2.4 Navigable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,title-not-meaningful,Open,Fixed,Roles,,Fixed,,Closed
2340845,Fixed,Visual heading text is not marked as heading,Serious,1.3 Adaptable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/overview,semantic-heading,Open,Not Fixed,Admin Overview,,Fixed,Not fixed,Open
2340905,Fixed,ARIA commands must have an accessible name,Serious,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/helpcenter/,aria-command-name,Open,Not Fixed,Help - DAP - Overview,,Fixed,,Open
2340908,Fixed,Frames must have an accessible name,Serious,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/helpcenter/,frame-title,Open,Not Fixed,Help - DAP - Overview,,Fixed,,Open
2340909,Fixed,<html> element must have a valid value for the lang attribute,Serious,3.1 Readable,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/helpcenter/,html-lang-valid,Open,Not Fixed,Help - DAP - Overview,,Fixed,,Open
2340910,Fixed,Interactive controls must not be nested,Serious,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/helpcenter/,nested-interactive,Open,Not Fixed,Help - DAP - Overview,,Fixed,,Open
2340921,Fixed,Status message not automatically announced,Serious,4.1 Compatible,"508-2017-wcag21, 508-2017-wcag2, wcag2a, wcag2aa, wcag21a, wcag21aa",https://demo.innovaccer.com/admin/roles,status-msg-not-auto-announced,Open,Fixed,Roles,,Fixed,,Closed
